Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2014-01-02,65.21508026123047,65.71657268489278,65.20075440491917,65.29388613543743,5919600
2014-01-03,65.80255126953125,66.06762612098801,65.37987010548287,65.40136162693632,5637600
2014-01-06,66.14642333984375,66.4473155323496,65.8168739672233,65.85985700449608,7443500
2014-01-07,67.55058288574219,67.78700048914297,66.61924379308319,66.65506662964602,11063300
2014-01-08,67.45746612548828,67.77268420081016,67.25686584835786,67.46462632175108,9096700
2014-01-09,67.86579132080078,68.3314552981617,67.40728207073181,68.01623736259687,7944700
2014-01-10,67.87296295166016,68.04490599908499,67.44311626469239,67.80132274813172,6697400
2014-01-13,67.7010269165039,68.05206774786994,67.38580345482167,67.60789519636928,9589200
2014-01-14,67.85865020751953,67.98760478510351,67.5720838722442,67.77267866719747,7567300
2014-01-15,67.91596221923828,68.25267177581047,67.70820176999287,67.80849916400128,7390700
2014-01-16,67.80135345458984,68.12373724937031,67.50762684735871,67.77269626704053,8401100
2014-01-17,68.10221099853516,68.18101685766125,67.61504999020876,67.85863322727039,13714400
2014-01-21,67.36432647705078,68.13088831591314,66.35418679490434,68.0090993942711,16368400
2014-01-22,67.57207489013672,67.7368522874012,67.01327361681827,67.33565728502585,8875500
2014-01-23,66.44013214111328,67.1995335470057,66.20372003340212,67.15654505540631,9322300
2014-01-24,64.91417694091797,66.34700282114432,64.91417694091797,65.99596201091201,10604200
2014-01-27,64.4341812133789,65.02163960227145,64.36970120692402,64.6920903076046,8685200
2014-01-28,64.54881286621094,64.90701938096882,64.3267265761163,64.89269352532948,8254400
2014-01-29,63.68911361694336,64.26940636894862,63.424038852475725,64.09746878794653,11160100
2014-01-30,64.11897277832031,64.31956757281975,63.767931887946304,64.20494431844787,6874900
2014-01-31,63.38106918334961,64.0043450955323,63.15181720509194,63.76793292149661,12193800
2014-02-03,62.17032241821289,63.60314849087342,62.04853351382819,63.581656974311144,13944600
2014-02-04,62.05569839477539,62.52852815059662,61.67599489902192,62.2777846841916,11436400
2014-02-05,62.528541564941406,62.80794226827549,61.955414299604286,61.96257449603935,10667300
2014-02-06,63.5816650390625,63.58883070075806,62.72197147274102,62.77928036891029,10037900
2014-02-07,64.5058364868164,64.5058364868164,63.481365530310015,63.703451843311285,9435100
2014-02-10,65.2437515258789,65.25091718848059,64.33390914423197,64.649127243318,8080200
2014-02-11,66.60491943359375,66.60491943359375,65.15776207039889,65.2580594560701,11556300
2014-02-12,66.21089935302734,66.61925461350108,65.87418431151774,66.59059743275577,7696100
2014-02-13,66.3111801147461,66.3541686079771,65.7022302076437,65.90999061656983,5926000
2014-02-14,66.4544677734375,66.59058251924583,65.93148390710901,66.33983907612824,5485100
2014-02-18,66.03179931640625,66.51896048141093,65.97448495210014,66.46164611710482,6926500
2014-02-19,65.65209197998047,66.44731090898524,65.6019432847188,66.01746416877133,7693400
2014-02-20,66.18226623535156,66.43301529159288,65.41570413554612,65.6879447187109,8160100
2014-02-21,66.03789520263672,66.56464221914686,65.98738566722832,66.28323116399636,7381500
2014-02-24,65.74205017089844,66.42753745676333,65.73483295064298,65.98738060832342,8406700
2014-02-25,65.74205017089844,66.29044330266599,65.41734682604161,66.08839967139559,6383400
2014-02-26,65.74205017089844,66.05232458037041,65.49671422834741,65.74205017089844,6334100
2014-02-27,65.9224624633789,65.9657547880053,65.4823054792514,65.77815104453909,7040300
2014-02-28,66.47087097167969,66.84608404958264,65.70600486248178,65.96576987992574,9643700
2014-03-03,66.0667724609375,66.36983524218577,65.5400308388889,65.75649796249179,7506700
2014-03-04,67.35115814208984,67.43774828864687,66.56465162175726,66.72339747121487,8796300
2014-03-05,66.81001281738281,67.32233120522233,66.65848412011343,67.30067952978689,6842500
2014-03-06,67.02648162841797,67.57487509979619,66.97597206560218,67.24295432913105,7718300
2014-03-07,67.33675384521484,67.4522074162074,66.88216779597249,67.37283446243234,6792000
2014-03-10,67.4305648803711,67.45942827703053,66.95433259831532,67.228526608885,4878200
2014-03-11,67.45942687988281,67.64703620171862,67.17079842439617,67.61817280565697,5837200
2014-03-12,67.53877258300781,67.5532070277776,66.85328509488974,66.97595034979463,6154900
2014-03-13,67.10584259033203,67.9717222281559,67.09141364859065,67.71917445921798,7659400
2014-03-14,66.96875,67.42334153761117,66.71620220417661,67.01925955916468,7337800
2014-03-17,67.77689361572266,67.95728564541369,67.23571752664954,67.29344429738136,5872600
2014-03-18,67.78411865234375,68.00058580985012,67.45219794006452,67.75525526365054,5891900
